"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group C","some college","free/reduced","none","78","91","89"
"female","group C","master's degree","standard","completed","73","86","91"
"male","group B","associate's degree","standard","none","69","53","54"
"male","group D","some college","standard","none","83","73","73"
"male","group C","some high school","standard","none","73","77","62"
"male","group B","associate's degree","standard","none","81","83","76"
"female","group A","bachelor's degree","standard","none","70","68","74"
"female","group D","high school","free/reduced","none","67","70","73"
"male","group D","bachelor's degree","free/reduced","none","49","59","53"
"female","group C","some college","free/reduced","none","76","82","82"
"male","group C","some high school","free/reduced","none","54","53","51"
"female","group C","some college","standard","completed","61","72","75"
"female","group B","master's degree","standard","none","63","77","75"
"male","group D","bachelor's degree","free/reduced","completed","53","59","60"
"female","group D","some high school","standard","completed","69","84","82"
"male","group A","some college","standard","none","45","41","41"
"female","group D","high school","free/reduced","completed","80","93","99"
"male","group C","bachelor's degree","free/reduced","completed","59","55","63"
"male","group D","high school","standard","none","56","53","51"
"female","group B","high school","free/reduced","completed","60","76","75"
"male","group E","some high school","standard","none","69","68","62"
"male","group C","some high school","standard","none","48","56","52"
"female","group B","bachelor's degree","free/reduced","none","53","75","71"
"female","group C","some high school","standard","completed","77","100","98"
"female","group D","some high school","free/reduced","none","47","71","63"
"male","group B","bachelor's degree","free/reduced","none","51","44","43"
"female","group D","bachelor's degree","free/reduced","none","54","66","56"
"male","group E","high school","free/reduced","none","60","58","51"
"male","group E","high school","free/reduced","none","56","56","58"
"female","group B","bachelor's degree","standard","none","76","78","82"
"male","group C","master's degree","free/reduced","none","46","43","42"
"female","group D","some high school","standard","completed","75","73","81"
"male","group E","high school","standard","none","83","62","54"
"female","group C","some college","standard","none","55","77","71"
"female","group E","associate's degree","standard","none","66","71","63"
"male","group D","high school","standard","none","87","81","83"
"female","group C","high school","free/reduced","none","49","63","61"
"male","group B","some high school","free/reduced","completed","45","39","42"
"female","group C","associate's degree","standard","none","42","45","43"
"male","group C","bachelor's degree","standard","none","71","66","68"
"male","group D","master's degree","standard","none","62","65","61"
"female","group D","high school","standard","none","59","71","75"
"female","group D","high school","free/reduced","none","71","82","77"
"female","group C","some college","free/reduced","completed","73","77","88"
"female","group C","master's degree","standard","none","56","64","68"
"female","group C","some high school","standard","none","79","80","75"
"male","group B","some college","standard","none","36","39","32"
"male","group D","master's degree","standard","none","70","71","75"
"male","group B","some high school","standard","completed","61","58","58"
"male","group C","master's degree","free/reduced","none","44","49","44"
"female","group D","some high school","standard","completed","76","77","84"
"male","group B","high school","free/reduced","none","35","45","34"
"male","group C","some high school","standard","completed","68","65","68"
"female","group E","some high school","free/reduced","completed","87","96","89"
"female","group D","bachelor's degree","standard","completed","47","53","61"
"female","group B","bachelor's degree","free/reduced","completed","37","59","61"
"male","group A","high school","standard","completed","62","71","73"
"male","group E","some college","free/reduced","completed","86","82","83"
"male","group D","some college","standard","none","78","70","70"
"male","group C","some college","standard","none","76","68","64"
"female","group B","associate's degree","free/reduced","completed","58","68","68"
"male","group B","associate's degree","free/reduced","completed","52","64","57"
"female","group C","some high school","free/reduced","none","53","68","61"
"male","group E","master's degree","free/reduced","none","88","82","84"
"female","group E","high school","standard","none","59","61","55"
"male","group B","some high school","standard","none","56","46","44"
"female","group D","master's degree","free/reduced","none","63","67","75"
"male","group D","some college","free/reduced","none","49","51","53"
"female","group C","some high school","free/reduced","none","63","67","62"
"male","group D","some high school","standard","none","76","65","72"
"female","group D","some college","standard","none","57","72","78"
"female","group E","bachelor's degree","standard","none","91","96","98"
"male","group B","some college","free/reduced","none","71","74","73"
"female","group C","high school","free/reduced","completed","45","65","61"
"male","group E","associate's degree","free/reduced","completed","81","77","81"
"male","group A","high school","standard","none","77","79","75"
"male","group C","some college","free/reduced","none","59","63","54"
"female","group E","some high school","standard","none","86","84","83"
"male","group C","associate's degree","free/reduced","none","43","44","41"
"male","group E","some college","standard","completed","93","81","87"
"female","group B","master's degree","standard","none","45","44","51"
"female","group D","some high school","free/reduced","none","67","78","77"
"female","group C","some high school","standard","none","62","72","75"
"female","group C","high school","free/reduced","none","58","67","64"
"female","group C","master's degree","free/reduced","completed","53","63","65"
"female","group B","some college","free/reduced","none","52","64","59"
"female","group D","some high school","standard","none","61","61","67"
"male","group C","some college","free/reduced","none","28","42","34"
"male","group D","some high school","free/reduced","none","58","44","45"
"female","group C","high school","standard","completed","69","75","72"
"male","group B","master's degree","standard","none","82","74","71"
"male","group E","some college","standard","none","65","62","52"
"male","group D","some high school","standard","completed","88","86","94"
"female","group D","associate's degree","standard","none","61","67","70"
"female","group C","some high school","standard","none","51","65","59"
"male","group C","bachelor's degree","standard","none","63","65","65"
"female","group A","high school","free/reduced","none","41","50","46"
"female","group B","some college","free/reduced","none","38","53","57"
"female","group E","some college","standard","completed","65","76","80"
"male","group D","master's degree","standard","none","86","80","81"
"male","group C","master's degree","standard","none","77","69","71"
"male","group C","some college","standard","completed","57","49","49"
"female","group B","high school","standard","none","47","56","54"
"female","group B","high school","standard","none","55","65","68"
"female","group E","high school","standard","none","82","83","82"
"female","group C","associate's degree","standard","completed","83","92","96"
"female","group D","bachelor's degree","free/reduced","completed","90","100","100"
"female","group E","some college","standard","none","99","100","100"
"male","group B","associate's degree","free/reduced","completed","58","64","62"
"male","group C","some college","standard","completed","100","83","95"
"female","group B","associate's degree","free/reduced","none","30","49","54"
"male","group C","associate's degree","standard","none","90","82","78"
"female","group C","high school","standard","none","53","64","67"
"male","group D","bachelor's degree","free/reduced","none","44","57","47"
"female","group D","high school","standard","none","70","73","76"
"female","group C","master's degree","standard","none","54","69","73"
"female","group C","associate's degree","free/reduced","none","67","70","72"
"male","group E","bachelor's degree","standard","none","63","55","53"
"male","group D","some high school","free/reduced","completed","84","80","81"
"female","group E","bachelor's degree","standard","completed","81","90","89"
"female","group B","associate's degree","standard","none","68","74","74"
"male","group B","bachelor's degree","standard","none","87","89","82"
"male","group A","associate's degree","free/reduced","none","68","74","62"
"male","group E","associate's degree","standard","none","63","59","55"
"male","group A","bachelor's degree","free/reduced","none","81","76","76"
"female","group A","some high school","standard","none","73","83","82"
"female","group E","high school","standard","completed","76","77","82"
"female","group C","some high school","standard","none","71","74","75"
"female","group E","some high school","standard","none","65","62","58"
"male","group D","associate's degree","standard","completed","53","55","60"
"female","group D","bachelor's degree","standard","none","68","78","79"
"female","group C","master's degree","free/reduced","none","64","78","75"
"female","group D","some college","standard","completed","70","79","84"
"female","group D","some college","standard","none","53","53","64"
"female","group E","some college","standard","none","89","95","94"
"male","group B","some college","free/reduced","none","52","58","55"
"female","group C","some high school","standard","none","63","57","66"
"female","group E","master's degree","free/reduced","none","66","69","73"
"male","group C","some high school","free/reduced","none","62","72","65"
"male","group D","associate's degree","standard","none","69","75","69"
"female","group B","some high school","standard","completed","63","73","77"
"male","group D","some high school","standard","completed","66","62","61"
"male","group A","some college","standard","completed","84","69","72"
"male","group E","master's degree","standard","none","83","71","71"
"male","group A","some college","free/reduced","completed","74","78","75"
"female","group A","high school","free/reduced","completed","51","61","63"
"male","group B","some college","standard","none","74","80","74"
"male","group C","associate's degree","free/reduced","none","58","68","63"
"male","group C","some college","standard","completed","98","94","93"
"female","group C","associate's degree","free/reduced","none","57","73","70"
"male","group E","master's degree","standard","completed","90","89","83"
"female","group C","some college","standard","none","41","45","48"
"female","group E","some high school","standard","none","55","54","54"
"female","group B","some college","standard","completed","85","100","100"
"female","group C","some high school","free/reduced","completed","56","64","62"
"male","group D","high school","standard","none","52","62","61"
"male","group D","some college","free/reduced","none","46","46","46"
"male","group D","some high school","standard","completed","83","91","89"
"female","group B","some college","free/reduced","none","73","82","81"
"female","group D","bachelor's degree","free/reduced","none","69","84","80"
"male","group C","bachelor's degree","standard","none","58","67","59"
"male","group B","some college","free/reduced","completed","68","63","65"
"male","group B","high school","free/reduced","none","60","61","55"
"male","group C","master's degree","standard","completed","78","81","78"
"female","group C","high school","free/reduced","none","40","50","47"
"male","group C","master's degree","standard","completed","83","84","80"
"female","group B","some college","standard","none","73","88","74"
"female","group B","high school","free/reduced","completed","68","71","68"
"male","group E","high school","standard","none","100","96","91"
"female","group D","some college","free/reduced","completed","70","80","92"
"male","group A","some high school","free/reduced","completed","68","68","59"
"male","group A","some college","standard","none","87","87","82"
"male","group C","some college","standard","none","70","60","58"
"female","group D","high school","standard","none","71","74","78"
"female","group B","bachelor's degree","standard","none","81","91","85"
"male","group C","master's degree","standard","completed","94","100","96"
"female","group B","high school","standard","none","63","62","61"
"female","group E","high school","standard","none","58","70","76"
"female","group C","some high school","free/reduced","none","52","65","61"
"male","group C","high school","standard","completed","85","75","73"
"female","group B","high school","standard","none","59","71","69"
"female","group C","high school","free/reduced","none","50","66","61"
"male","group A","some high school","standard","completed","67","56","58"
"female","group A","high school","free/reduced","none","54","64","62"
"male","group D","associate's degree","standard","none","46","39","40"
"female","group B","some high school","free/reduced","none","39","50","45"
"female","group B","bachelor's degree","free/reduced","completed","67","75","73"
"female","group D","some high school","standard","none","88","91","97"
"female","group C","bachelor's degree","standard","none","84","92","97"
"male","group B","bachelor's degree","standard","completed","86","86","89"
"female","group E","associate's degree","standard","none","67","71","69"
"male","group D","associate's degree","standard","none","78","65","65"
"male","group E","master's degree","free/reduced","none","51","41","37"
"male","group B","bachelor's degree","standard","none","83","86","79"
"female","group E","bachelor's degree","free/reduced","none","69","76","75"
"female","group C","bachelor's degree","free/reduced","completed","67","79","82"
"female","group D","associate's degree","standard","completed","71","78","77"
"male","group B","some college","standard","none","61","62","55"
"male","group B","associate's degree","standard","completed","86","95","84"
"male","group C","some college","standard","completed","92","92","93"
"male","group B","associate's degree","free/reduced","none","65","67","58"
"male","group D","master's degree","standard","none","73","51","58"
"male","group C","bachelor's degree","free/reduced","none","71","67","67"
"female","group B","associate's degree","free/reduced","completed","32","45","48"
"male","group C","some high school","standard","completed","69","60","72"
"female","group E","associate's degree","free/reduced","none","53","56","63"
"male","group C","some college","standard","none","72","71","68"
"female","group C","some high school","free/reduced","completed","69","75","72"
"female","group D","high school","standard","completed","60","57","61"
"male","group E","bachelor's degree","standard","none","62","63","60"
"female","group E","associate's degree","standard","completed","79","80","88"
"male","group B","some high school","standard","completed","67","65","67"
"female","group C","high school","standard","completed","74","86","87"
"male","group A","high school","standard","completed","71","57","65"
"female","group D","associate's degree","free/reduced","none","51","60","58"
"female","group C","bachelor's degree","standard","completed","62","78","81"
"male","group C","bachelor's degree","standard","completed","100","100","100"
"female","group D","some high school","free/reduced","none","60","63","61"
"female","group E","some high school","standard","none","82","81","81"
"male","group C","some college","free/reduced","completed","46","52","54"
"male","group D","master's degree","standard","none","100","94","95"
"female","group C","some high school","standard","none","69","64","73"
"male","group D","master's degree","standard","none","75","71","71"
"male","group A","master's degree","standard","completed","88","93","90"
"female","group B","high school","standard","none","56","58","55"
"female","group C","some high school","free/reduced","completed","53","59","60"
"male","group D","associate's degree","free/reduced","none","53","48","52"
"female","group D","bachelor's degree","free/reduced","none","55","73","70"
"male","group C","associate's degree","free/reduced","none","61","66","56"
"male","group B","some high school","standard","none","69","60","62"
"male","group C","associate's degree","standard","none","45","49","38"
"female","group B","some college","free/reduced","completed","52","64","64"
"male","group C","master's degree","free/reduced","completed","87","90","92"
"female","group D","high school","free/reduced","completed","49","49","62"
"male","group B","associate's degree","free/reduced","none","77","74","75"
"female","group B","some college","standard","completed","68","69","70"
"female","group D","bachelor's degree","free/reduced","none","77","91","90"
"male","group E","some high school","standard","none","87","79","77"
"male","group C","high school","free/reduced","none","37","29","28"
"female","group B","associate's degree","free/reduced","completed","60","79","77"
"male","group D","some high school","standard","none","58","45","51"
"female","group B","bachelor's degree","standard","none","85","95","94"
"male","group A","some high school","free/reduced","completed","72","71","71"
"male","group D","bachelor's degree","free/reduced","none","44","44","45"
"male","group C","high school","standard","none","87","82","72"
"female","group D","master's degree","standard","completed","100","100","100"
"female","group B","some high school","standard","none","59","61","61"
"male","group C","high school","standard","completed","64","51","56"
"male","group C","associate's degree","free/reduced","completed","66","64","69"
"female","group B","bachelor's degree","free/reduced","none","31","40","50"
"male","group B","bachelor's degree","standard","none","88","79","82"
"male","group A","high school","free/reduced","none","45","52","47"
"female","group B","high school","free/reduced","completed","62","77","69"
"female","group D","high school","standard","completed","79","87","91"
"female","group D","some high school","free/reduced","none","28","37","35"
"female","group C","some college","standard","completed","62","72","78"
"female","group B","bachelor's degree","standard","none","77","77","76"
"male","group E","some high school","standard","completed","99","100","91"
"male","group E","associate's degree","free/reduced","none","70","71","70"
"male","group C","some high school","standard","completed","90","88","89"
"male","group C","bachelor's degree","standard","completed","62","66","65"
"female","group B","associate's degree","free/reduced","none","67","78","78"
"male","group C","high school","free/reduced","completed","45","64","57"
"male","group B","associate's degree","free/reduced","none","81","79","70"
"male","group B","associate's degree","standard","none","85","71","70"
"female","group D","bachelor's degree","free/reduced","none","62","77","84"
"male","group E","some college","standard","none","96","75","72"
"female","group E","some high school","free/reduced","none","58","56","57"
"female","group E","high school","standard","none","69","72","66"
"male","group A","some high school","standard","none","70","62","60"
"female","group B","associate's degree","free/reduced","none","53","73","75"
"female","group C","high school","standard","completed","40","57","52"
"male","group E","bachelor's degree","free/reduced","completed","79","65","64"
"male","group C","some high school","standard","none","60","52","48"
"male","group D","high school","standard","none","87","76","72"
"male","group C","some college","standard","none","74","72","63"
"female","group B","some college","free/reduced","none","40","50","50"
"female","group C","associate's degree","free/reduced","none","45","64","58"
"female","group B","some high school","standard","none","61","72","74"
"female","group C","high school","standard","none","58","61","59"
"female","group D","some college","standard","completed","83","82","88"
"female","group E","some college","standard","none","100","95","95"
"female","group C","associate's degree","standard","completed","75","93","100"
"male","group C","some college","free/reduced","none","24","33","25"
"female","group D","high school","free/reduced","none","52","58","55"
"male","group B","associate's degree","standard","none","80","69","64"
"male","group E","some high school","free/reduced","completed","60","55","57"
"male","group C","some college","standard","completed","62","58","56"
"female","group E","some college","free/reduced","none","68","72","71"
"male","group D","associate's degree","standard","none","81","75","69"
